Date,Close/Last,Volume,Open,High,Low
07/21/2017,$142.3597,6509258,$142.8534,$143.1244,$141.808
07/20/2017,$142.9211,7175441,$142.7953,$144.0536,$142.3114
07/19/2017,$142.7953,14292020,$145.2054,$145.428,$142.0016
07/18/2017,$149.0577,7435556,$147.4703,$149.3384,$147.1218
07/17/2017,$148.0994,4753260,$148.6608,$148.9415,$147.354
07/14/2017,$149.29,3256144,$149.0673,$149.6529,$148.4769
07/13/2017,$148.6995,2476080,$148.7673,$149.2416,$148.2737
07/12/2017,$148.7673,3097831,$148.5544,$149.29,$148.1382
07/11/2017,$148.2737,3447509,$148.3414,$148.7189,$147.1702
07/10/2017,$148.4963,3410665,$148.0026,$148.9512,$147.7316
07/07/2017,$148.0317,2383896,$147.722,$148.564,$147.2574
07/06/2017,$147.4703,2756760,$148.4382,$148.8931,$147.3445
07/05/2017,$148.7383,3561287,$150.7709,$150.887,$148.6995
07/03/2017,$150.587,2822651,$148.6511,$151.0177,$148.5931
06/30/2017,$148.8931,3571536,$149.3287,$149.5416,$148.2253
06/29/2017,$149.1835,3261684,$150.3643,$150.7418,$148.6899
06/28/2017,$150.3353,2214240,$150.1708,$150.5579,$149.8126
06/27/2017,$149.7836,2386491,$150.0256,$150.3547,$149.5416
06/26/2017,$150.2482,2152542,$149.7449,$150.7515,$149.6674
06/23/2017,$149.1641,3282201,$149.3868,$149.7158,$148.8641
06/22/2017,$149.4448,2376471,$149.59,$150.0159,$148.7576
06/21/2017,$148.8544,3958819,$150.7902,$150.7902,$148.4672
06/20/2017,$149.9772,4479369,$149.5223,$150.4021,$149.2996
06/19/2017,$149.8707,4536193,$150.5192,$150.858,$149.5803
06/16/2017,$150.3934,6373354,$149.2803,$150.4321,$148.0584
06/15/2017,$149.2706,4651727,$148.3704,$149.7255,$148.3704
06/14/2017,$148.8738,3043704,$149.0286,$149.9674,$148.0317
06/13/2017,$149.2996,3523529,$150.4514,$150.4902,$149.2028
06/12/2017,$150.1998,6461729,$149.2416,$152.155,$149.077
06/09/2017,$149.1545,4356544,$147.1218,$149.3142,$147.0057
